#CREATED_BY
"Author","Link"
"Track My Trip for Android","http://neocor6.com"


#TRACK_HEADER_INFO
"Title","Description","Activity","CreatedAt"
"Track  9/6/21 07:29","","2021-06-09T11:29:29.974Z","4"


#POINTS_OF_INTEREST
"Title","Description","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt","ContentType","ContentLocation"


#TRACKPOINTS
"Segment","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt"
"0","-23.69769112","-70.42112779","4.288","6.72","32.73931884765625","116.7","2021-06-09T11:29:31.419Z"
"0","-23.69782767","-70.42084568","3.216","6.63","39.22113037109375","118.8","2021-06-09T11:29:36.000Z"
"0","-23.69787618","-70.4207275","3.216","6.8","40.9327392578125","115.9","2021-06-09T11:29:38.000Z"
"0","-23.69792605","-70.42060339","3.216","6.82","41.59954833984375","111.6","2021-06-09T11:29:40.000Z"
"0","-23.69797705","-70.42048199","3.216","7.25","41.5665283203125","113.5","2021-06-09T11:29:42.000Z"
"0","-23.69802974","-70.42035137","3.216","7.7","42.14080810546875","116.2","2021-06-09T11:29:44.000Z"
"0","-23.69809658","-70.42021569","3.216","8.09","41.75469970703125","118.0","2021-06-09T11:29:46.000Z"
"0","-23.6981668","-70.42007577","3.216","8.75","43.0146484375","118.1","2021-06-09T11:29:48.000Z"
"0","-23.69823599","-70.41991963","3.216","8.72","43.751953125","118.8","2021-06-09T11:29:50.000Z"
"0","-23.69831003","-70.41976346","3.216","9.07","44.1107177734375","118.7","2021-06-09T11:29:52.000Z"
"0","-23.69838997","-70.4196123","3.216","8.84","43.8463134765625","119.0","2021-06-09T11:29:54.000Z"
"0","-23.6984561","-70.41947916","3.216","7.3","45.3787841796875","118.1","2021-06-09T11:29:56.000Z"
"0","-23.69849636","-70.41936148","3.216","6.88","46.3167724609375","88.7","2021-06-09T11:29:58.000Z"
"0","-23.6984958","-70.41924498","3.216","5.94","46.463134765625","75.4","2021-06-09T11:30:00.000Z"
"0","-23.69838508","-70.41919219","3.216","5.69","46.7156982421875","11.7","2021-06-09T11:30:02.000Z"
