#CREATED_BY
"Author","Link"
"Track My Trip for Android","http://neocor6.com"


#TRACK_HEADER_INFO
"Title","Description","Activity","CreatedAt"
"Track  9/6/21 19:26","","2021-06-09T23:26:59.455Z","4"


#POINTS_OF_INTEREST
"Title","Description","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt","ContentType","ContentLocation"


#TRACKPOINTS
"Segment","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt"
"0","-23.53797393","-70.39259025","3.216","8.53","97.5941162109375","354.5","2021-06-09T23:27:01.240Z"
"0","-23.53766457","-70.39261092","3.216","9.5","96.095703125","354.9","2021-06-09T23:27:05.000Z"
"0","-23.53750064","-70.39263205","3.216","9.14","96.95806884765625","354.8","2021-06-09T23:27:07.000Z"
"0","-23.53734405","-70.39264556","3.216","8.08","98.14227294921875","355.6","2021-06-09T23:27:09.000Z"
"0","-23.53721107","-70.39265529","3.216","6.89","97.91094970703125","356.4","2021-06-09T23:27:11.000Z"
"0","-23.53711677","-70.39266072","3.216","4.43","97.53692626953125","359.0","2021-06-09T23:27:13.000Z"
"0","-23.53702035","-70.3926654","3.216","3.25","96.2838134765625","356.5","2021-06-09T23:27:17.000Z"
"0","-23.53680309","-70.39270042","3.216","7.61","97.7586669921875","353.1","2021-06-09T23:27:21.000Z"
"0","-23.5366497","-70.39272182","3.216","9.46","97.55657958984375","355.2","2021-06-09T23:27:23.000Z"
"0","-23.53646656","-70.39273222","3.216","11.29","97.36151123046875","356.4","2021-06-09T23:27:25.000Z"
"0","-23.53624905","-70.39275076","3.216","12.27","97.0125732421875","355.1","2021-06-09T23:27:27.000Z"
"0","-23.53280928","-70.39307055","4.288","2.5","99.94775390625","352.5","2021-06-09T23:27:59.391Z"
"0","-23.53265161","-70.39309659","3.216","7.77","97.3289794921875","354.9","2021-06-09T23:28:03.000Z"
"0","-23.53249709","-70.39310413","3.216","9.96","97.0966796875","355.9","2021-06-09T23:28:05.000Z"
"0","-23.52291272","-70.3965687","4.288","14.49","86.10845947265625","333.0","2021-06-09T23:29:10.848Z"
"0","-23.52253518","-70.39675791","3.216","5.79","103.43218994140625","328.6","2021-06-09T23:29:15.000Z"
"0","-23.522461","-70.39683362","3.216","5.25","105.63494873046875","313.5","2021-06-09T23:29:17.000Z"
"0","-23.52242984","-70.39693377","3.216","5.74","106.4112548828125","272.8","2021-06-09T23:29:19.000Z"
"0","-23.5224554","-70.3970473","3.216","6.91","108.18157958984375","245.5","2021-06-09T23:29:21.000Z"
"0","-23.52250489","-70.39716498","3.216","6.52","108.1641845703125","245.3","2021-06-09T23:29:23.000Z"
"0","-23.52671422","-70.39993082","4.288","10.62","97.8197021484375","236.3","2021-06-09T23:30:19.750Z"
"0","-23.52690836","-70.40039248","3.216","12.8","86.65966796875","250.2","2021-06-09T23:30:24.000Z"
"0","-23.52697006","-70.40063667","3.216","12.99","83.5587158203125","257.0","2021-06-09T23:30:26.000Z"
"0","-23.52699863","-70.40088989","3.216","13.78","83.5177001953125","265.7","2021-06-09T23:30:28.000Z"
"0","-23.52700002","-70.40112972","3.216","11.43","82.468505859375","271.0","2021-06-09T23:30:30.000Z"
"0","-23.52693761","-70.40266889","5.36","13.09","85.6849365234375","270.1","2021-06-09T23:30:48.221Z"
"0","-23.52698978","-70.40323726","3.216","14.41","79.60003662109375","269.3","2021-06-09T23:30:52.000Z"
"0","-23.5270028","-70.40353339","3.216","15.11","77.79010009765625","266.2","2021-06-09T23:30:54.000Z"
"0","-23.5270213","-70.40383915","3.216","15.7","75.9248046875","266.3","2021-06-09T23:30:56.000Z"
"0","-23.52706255","-70.40414709","3.216","15.74","72.892578125","261.9","2021-06-09T23:30:58.000Z"
