#CREATED_BY
"Author","Link"
"Track My Trip for Android","http://neocor6.com"


#TRACK_HEADER_INFO
"Title","Description","Activity","CreatedAt"
"Track  09-06-21 19:34","","2021-06-09T23:34:18.821Z","0"


#POINTS_OF_INTEREST
"Title","Description","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt","ContentType","ContentLocation"


#TRACKPOINTS
"Segment","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt"
"0","-23.539179557092503","-70.39211068915154","8.989535","0.06361535","92.74455819185823","41.655594","2021-06-09T23:34:19.962Z"
"1","-23.539117513063314","-70.39232684403657","10.311277","2.8238099","89.86766069103032","262.87408","2021-06-09T23:35:17.000Z"
"1","-23.539131361218896","-70.39238739992226","6.2721243","2.934616","89.13557508401573","262.87408","2021-06-09T23:35:19.000Z"
"1","-23.53909464262679","-70.39248069689836","4.7","3.8476987","87.2676570545882","338.65164","2021-06-09T23:35:23.000Z"
"1","-23.538969030331923","-70.39248199680645","4.7","5.257934","88.72325133159757","3.7034528","2021-06-09T23:35:26.000Z"
"1","-23.538837220960676","-70.39247039307088","4.134816","5.1264024","90.6615309426561","352.84567","2021-06-09T23:35:29.000Z"
"1","-23.538743077113473","-70.39248255281673","3.717041","5.694034","90.4756687367335","351.16693","2021-06-09T23:35:31.000Z"
"1","-23.53863412653199","-70.39250609500947","3.1259873","6.430816","90.74001772049814","351.0467","2021-06-09T23:35:33.000Z"
"1","-23.538512513589477","-70.39253282597498","3.0","7.145949","91.2237334344536","353.29022","2021-06-09T23:35:35.000Z"
"1","-23.53838014917183","-70.39255089531747","3.0","7.3251743","91.26629002392292","354.56262","2021-06-09T23:35:37.000Z"
"1","-23.538249624628136","-70.39256674633529","3.0","7.239236","91.54574704077095","355.4508","2021-06-09T23:35:39.000Z"
"1","-23.53811714480908","-70.39257825467175","3.0","7.2222567","91.9405113728717","353.45947","2021-06-09T23:35:41.000Z"
"1","-23.537982332844113","-70.39259301844987","3.0","7.496685","92.44467156287283","352.78494","2021-06-09T23:35:43.000Z"
"1","-23.537841917020355","-70.39261277619254","3.0","7.905389","93.14905723556876","353.85498","2021-06-09T23:35:45.000Z"
"1","-23.537699969693342","-70.39262746090164","3.0","8.1310005","94.15467046946287","356.796","2021-06-09T23:35:47.000Z"
"1","-23.537559176189013","-70.39263938086944","3.0","7.7762237","94.96604455821216","356.8085","2021-06-09T23:35:49.000Z"
"1","-23.537428221369456","-70.39265134379599","3.0","7.3095207","95.45802066847682","354.02502","2021-06-09T23:35:51.000Z"
"1","-23.537300422692496","-70.39266353253578","3.0","6.77569","95.84804726857692","355.01596","2021-06-09T23:35:53.000Z"
"1","-23.537186353155736","-70.39267650728488","3.0","6.3124056","96.55427010450512","355.27164","2021-06-09T23:35:55.000Z"
"1","-23.537073456621453","-70.39268667326769","3.0","5.996554","97.36709667462856","354.61597","2021-06-09T23:35:57.000Z"
"1","-23.536959907147196","-70.39269748818197","3.0","6.574722","97.79505826719105","356.6669","2021-06-09T23:35:59.000Z"
"1","-23.53683793335214","-70.39270360647873","3.0","7.2597814","98.01148046646267","357.08398","2021-06-09T23:36:01.000Z"
"1","-23.536703901365115","-70.39270877410013","3.0","7.757162","98.13282137271017","357.31772","2021-06-09T23:36:03.000Z"
"1","-23.536557552540234","-70.39270853489657","3.0","8.364783","98.06584952771664","357.79642","2021-06-09T23:36:05.000Z"
"1","-23.536405635118093","-70.39271464225826","3.0","8.441299","98.20552478451282","357.107","2021-06-09T23:36:07.000Z"
