#CREATED_BY
"Author","Link"
"Track My Trip for Android","http://neocor6.com"


#TRACK_HEADER_INFO
"Title","Description","Activity","CreatedAt"
"Track  9/6/21 17:58","","2021-06-09T21:58:53.591Z","4"


#POINTS_OF_INTEREST
"Title","Description","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt","ContentType","ContentLocation"


#TRACKPOINTS
"Segment","Latitude","Longitude","Accuracy","Speed","Altitude","Bearing","CreatedAt"
"0","-23.7007431","-70.42291682","4.288","9.8","31.9779052734375","26.2","2021-06-09T21:58:55.229Z"
"0","-23.70024478","-70.42277331","3.216","13.35","38.96575927734375","17.7","2021-06-09T21:59:00.000Z"
"0","-23.70001665","-70.42268987","3.216","13.55","38.72113037109375","16.7","2021-06-09T21:59:02.000Z"
"0","-23.69978319","-70.42260303","3.216","13.75","38.55810546875","18.5","2021-06-09T21:59:04.000Z"
"0","-23.69954597","-70.42252482","3.216","13.72","38.79241943359375","18.1","2021-06-09T21:59:06.000Z"
"0","-23.69930576","-70.4224454","3.216","14.22","39.6031494140625","16.9","2021-06-09T21:59:08.000Z"
"0","-23.69905768","-70.42234496","3.216","15.17","39.76153564453125","19.2","2021-06-09T21:59:10.000Z"
"0","-23.69880913","-70.42225922","3.216","13.96","41.005615234375","17.3","2021-06-09T21:59:12.000Z"
"0","-23.69856808","-70.42217371","3.216","13.98","41.157958984375","18.5","2021-06-09T21:59:14.000Z"
"0","-23.69831236","-70.42205769","3.216","14.62","41.590576171875","23.3","2021-06-09T21:59:16.000Z"
"0","-23.69807189","-70.42193085","3.216","14.88","43.30902099609375","30.0","2021-06-09T21:59:18.000Z"
"0","-23.69784947","-70.42178808","3.216","13.78","43.8160400390625","32.8","2021-06-09T21:59:20.000Z"
"0","-23.69767476","-70.42163404","3.216","12.46","43.46044921875","50.3","2021-06-09T21:59:22.000Z"
"0","-23.69760162","-70.42140577","3.216","12.85","43.21514892578125","87.7","2021-06-09T21:59:24.000Z"
"0","-23.69765776","-70.42116954","3.216","12.7","43.69580078125","115.0","2021-06-09T21:59:26.000Z"
"0","-23.69776652","-70.42095044","3.216","12.57","45.1678466796875","120.6","2021-06-09T21:59:28.000Z"
"0","-23.69787266","-70.42073776","3.216","12.33","46.50164794921875","118.2","2021-06-09T21:59:30.000Z"
"0","-23.69796771","-70.4205207","3.216","12.53","48.60113525390625","113.3","2021-06-09T21:59:32.000Z"
"0","-23.69806093","-70.42029645","3.216","12.57","50.63739013671875","114.3","2021-06-09T21:59:34.000Z"
"0","-23.69816277","-70.42007342","3.216","12.49","51.6502685546875","117.5","2021-06-09T21:59:36.000Z"
"0","-23.69826945","-70.41985873","3.216","12.5","52.85076904296875","118.7","2021-06-09T21:59:38.000Z"
"0","-23.6983815","-70.41964287","3.216","12.5","54.376220703125","119.8","2021-06-09T21:59:40.000Z"
"0","-23.69848149","-70.4194405","3.216","10.38","55.61004638671875","113.8","2021-06-09T21:59:42.000Z"
